T,FC,E,F,C,Ecum,Fcum,Ccum,Egroup,Fgroup,Cgroup,,,,,,,,,
1,2,0.05,1.3,0.5,0.05,1.3,0.5,1,1,1,,Row Labels,Sum of FC,,Row Labels,Sum of FC,,Row Labels,Sum of FC
2,11,1,17.8,2.8,1.05,19.1,3.3,1,2,1,,1,22,,1,2,,1,19
3,2,0.19,5,1,1.24,24.1,4.3,1,3,1,,2,4,,2,11,,2,11
4,4,0.41,1.5,0.5,1.65,25.6,4.8,1,3,1,,3,4,,3,11,,3,4
5,3,0.32,1.5,0.5,1.97,27.1,5.3,1,3,2,,4,5,,4,2,,4,17
6,1,0.61,3,1,2.58,30.1,6.3,2,3,2,,5,8,,6,4,,5,15
7,1,0.32,3,0.5,2.9,33.1,6.8,2,3,2,,6,17,,8,4,,6,14
8,2,1.83,8,2.5,4.73,41.1,9.3,2,4,2,,7,6,,9,1,,7,5
9,4,3.01,30,3,7.74,71.1,12.3,3,6,2,,8,11,,10,4,,8,2
10,0,1.79,9,3,9.53,80.1,15.3,3,6,3,,9,8,,12,4,,9,2
11,4,3.17,25,6,12.7,105.1,21.3,4,8,3,,10,4,,14,8,,10,3
12,1,3.4,15,4,16.1,120.1,25.3,4,9,4,,12,3,,16,9,,Grand Total,92
13,3,4.2,15,4,20.3,135.1,29.3,5,10,4,,Grand Total,92,,18,6,,,
14,0,1.2,2,1,21.5,137.1,30.3,5,10,4,,,,,19,7,,,
15,1,0.0531,4,1,21.5531,141.1,31.3,5,10,4,,,,,21,4,,,
16,1,0.0619,20,0,21.615,161.1,31.3,5,12,4,,,,,23,7,,,
17,2,0.158,1,0.5,21.773,162.1,31.8,5,12,4,,,,,24,1,,,
18,1,0.081,1,0.5,21.854,163.1,32.3,5,12,4,,,,,25,0,,,
19,8,1.046,32,2,22.9,195.1,34.3,6,14,4,,,,,26,2,,,
20,9,1.75,32,5,24.65,227.1,39.3,6,16,5,,,,,28,2,,,
21,6,2.96,24,4.5,27.61,251.1,43.8,7,18,5,,,,,30,3,,,
22,7,4.97,24,2.5,32.58,275.1,46.3,8,19,6,,,,,Grand Total,92,,,
23,4,0.42,24,4,33,299.1,50.3,8,21,6,,,,,,,,,
24,3,4.7,30,2,37.7,329.1,52.3,9,23,6,,,,,,,,,
25,0,0.9,0,0,38.6,329.1,52.3,9,23,6,,,,,,,,,
26,4,1.5,8,4,40.1,337.1,56.3,9,23,7,,,,,,,,,
27,1,2,8,6,42.1,345.1,62.3,9,24,7,,,,,,,,,
28,0,1.2,12,4,43.3,357.1,66.3,10,25,8,,,,,,,,,
29,2,1.2,20,6,44.5,377.1,72.3,10,26,8,,,,,,,,,
30,2,2.2,32,10,46.7,409.1,82.3,10,28,9,,,,,,,,,
31,3,7.6,24,8,54.3,433.1,90.3,12,30,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Intervals,5,15,10,,,,,,,,,
